_input_row,candidate_formula,prototype_id,substitution,wyckoff_letter,central_site_index,central_species,central_frac_coords,neighbor_counts_pattern,neighbor_nspecies_pattern,n_detected_shells,shell1_count,shell1_nspecies,shell1_species,shell1_distances_A,shell2_count,shell2_nspecies,shell2_species,shell2_distances_A,shell3_count,shell3_nspecies,shell3_species,shell3_distances_A,shell4_count,shell4_nspecies,shell4_species,shell4_distances_A
5,,,,,22,Co,"22.000000,-0.001217,-0.007274",1|16|24|8,1|4|5|2,4,1,1,Fe,0.1401,16,4,"Co,Cu,Fe,Ni",1.7344;1.7344;1.7399;1.7399;1.7856;1.7856;1.7903;1.7903;1.7947;1.7947;1.8128;1.8128;1.8331;1.8331;1.8398;1.8398,24,5,"Co,Cu,Fe,Ni,Ti",2.4579;2.4579;2.4579;2.4696;2.4696;2.4696;2.4733;2.4733;2.4733;2.5165;2.5165;2.5165;2.5174;2.5174;2.5174;2.5669;2.5669;2.5669;2.5766;2.5766;2.5766;2.5951;2.5951;2.5951,8,2,"Co,Fe",3.5194;3.5194;3.5465;3.5465;3.5789;3.5789;3.5864;3.5864
5,,,,,23,Co,"23.000000,0.499820,0.012443",1|16|12|12,1|4|4|3,4,1,1,Co,0.0995,16,4,"Co,Fe,Ni,Ti",1.6887;1.6887;1.7139;1.7139;1.7893;1.7893;1.7981;1.7981;1.8012;1.8012;1.8078;1.8078;1.8336;1.8336;1.8984;1.8984,12,4,"Co,Cu,Fe,Ni",2.4453;2.4453;2.4453;2.4640;2.4640;2.4640;2.4671;2.4671;2.4671;2.4716;2.4716;2.4716,12,3,"Co,Fe,Ti",2.5898;2.5898;2.5898;2.5906;2.5906;2.5906;2.6071;2.6071;2.6071;2.6313;2.6313;2.6313
5,,,,,24,Co,"24.000000,0.007338,0.750642",1|16|24|8,1|3|3|4,4,1,1,Ni,0.0159,16,3,"Co,Fe,Ti",1.7021;1.7021;1.7344;1.7344;1.7623;1.7623;1.7856;1.7856;1.8218;1.8218;1.8256;1.8256;1.8432;1.8432;1.8452;1.8452,24,3,"Co,Fe,Ni",2.4959;2.4959;2.4959;2.5141;2.5141;2.5141;2.5206;2.5206;2.5206;2.5243;2.5243;2.5243;2.5581;2.5581;2.5581;2.6047;2.6047;2.6047;2.6201;2.6201;2.6201;2.6366;2.6366;2.6366,8,4,"Co,Cu,Ni,Ti",3.4280;3.4280;3.4988;3.4988;3.5658;3.5658;3.5732;3.5732
5,,,,,25,Co,"25.000000,0.495409,0.251771",1|16|24|8,1|4|3|4,4,1,1,Ni,0.0300,16,4,"Co,Cu,Fe,Ni",1.6922;1.6922;1.7139;1.7139;1.7373;1.7373;1.7754;1.7754;1.7979;1.7979;1.7983;1.7983;1.8115;1.8115;1.8511;1.8511,24,3,"Co,Fe,Ni",2.4743;2.4743;2.4743;2.4978;2.4978;2.4978;2.5022;2.5022;2.5022;2.5038;2.5038;2.5038;2.5097;2.5097;2.5097;2.5112;2.5112;2.5112;2.5292;2.5292;2.5292;2.5726;2.5726;2.5726,8,4,"Co,Cu,Ni,Ti",3.5238;3.5238;3.5447;3.5447;3.5456;3.5456;3.5489;3.5489
5,,,,,26,Co,"26.000000,0.494429,0.747398",1|16|24|8,1|4|3|2,4,1,1,Ti,0.0982,16,4,"Co,Fe,Ni,Ti",1.7365;1.7365;1.7512;1.7512;1.7967;1.7967;1.8139;1.8139;1.8568;1.8568;1.8595;1.8595;1.8628;1.8628;1.8984;1.8984,24,3,"Co,Fe,Ni",2.4984;2.4984;2.4984;2.5229;2.5229;2.5229;2.5267;2.5267;2.5267;2.5469;2.5469;2.5469;2.5563;2.5563;2.5563;2.5749;2.5749;2.5749;2.5837;2.5837;2.5837;2.6368;2.6368;2.6368,8,2,"Co,Ni",3.4988;3.4988;3.5135;3.5135;3.5489;3.5489;3.5740;3.5740
5,,,,,27,Co,"27.000000,0.748020,0.490774",1|16|24|8,1|4|4|2,4,1,1,Fe,0.0490,16,4,"Cu,Fe,Ni,Ti",1.7217;1.7217;1.7681;1.7681;1.7886;1.7886;1.8315;1.8315;1.8561;1.8561;1.8624;1.8624;1.8677;1.8677;1.8882;1.8882,24,4,"Co,Cu,Ni,Ti",2.4978;2.4978;2.4978;2.5032;2.5032;2.5032;2.5073;2.5073;2.5073;2.5281;2.5281;2.5281;2.5837;2.5837;2.5837;2.6219;2.6219;2.6219;2.6366;2.6366;2.6366;2.6819;2.6819;2.6819,8,2,"Fe,Ni",3.4364;3.4364;3.5243;3.5243;3.5795;3.5795;3.5799;3.5799
5,,,,,28,Co,"28.000000,0.253573,0.248945",1|16|24|8,1|4|3|3,4,1,1,Ni,0.0382,16,4,"Co,Cu,Fe,Ni",1.7373;1.7373;1.7407;1.7407;1.7536;1.7536;1.7595;1.7595;1.7681;1.7681;1.7866;1.7866;1.7990;1.7990;1.8084;1.8084,24,3,"Co,Fe,Ni",2.4308;2.4308;2.4308;2.4453;2.4453;2.4453;2.4559;2.4559;2.4559;2.4669;2.4669;2.4669;2.4874;2.4874;2.4874;2.5262;2.5262;2.5262;2.5375;2.5375;2.5375;2.5951;2.5951;2.5951,8,3,"Co,Cu,Fe",3.5486;3.5486;3.5746;3.5746;3.5752;3.5752;3.5876;3.5876
5,,,,,29,Co,"29.000000,0.244305,0.749847",1|16|24|8,1|4|3|4,4,1,1,Fe,0.0602,16,4,"Co,Fe,Ni,Ti",1.7021;1.7021;1.7169;1.7169;1.7263;1.7263;1.7882;1.7882;1.7967;1.7967;1.8066;1.8066;1.8277;1.8277;1.8339;1.8339,24,3,"Co,Fe,Ni",2.4677;2.4677;2.4677;2.4733;2.4733;2.4733;2.4920;2.4920;2.4920;2.5143;2.5143;2.5143;2.5341;2.5341;2.5341;2.5423;2.5423;2.5423;2.5858;2.5858;2.5858;2.6313;2.6313;2.6313,8,4,"Co,Fe,Ni,Ti",3.5239;3.5239;3.5277;3.5277;3.5720;3.5720;3.5746;3.5746
5,,,,,30,Cu,"30.000000,0.001813,0.249644",1|16|24|8,1|4|3|2,4,1,1,Ni,0.0230,16,4,"Co,Cu,Fe,Ni",1.7312;1.7312;1.7426;1.7426;1.7702;1.7702;1.7877;1.7877;1.8023;1.8023;1.8084;1.8084;1.8260;1.8260;1.8398;1.8398,24,3,"Co,Fe,Ni",2.4823;2.4823;2.4823;2.4918;2.4918;2.4918;2.5031;2.5031;2.5031;2.5073;2.5073;2.5073;2.5155;2.5155;2.5155;2.5311;2.5311;2.5311;2.5435;2.5435;2.5435;2.5525;2.5525;2.5525,8,2,"Co,Ni",3.5456;3.5456;3.5620;3.5620;3.5732;3.5732;3.5791;3.5791
5,,,,,31,Cu,"31.000000,0.747599,0.250329",1|16|24|8,1|4|3|4,4,1,1,Fe,0.0603,16,4,"Co,Cu,Fe,Ni",1.7148;1.7148;1.7217;1.7217;1.7706;1.7706;1.7951;1.7951;1.8026;1.8026;1.8115;1.8115;1.8260;1.8260;1.8479;1.8479,24,3,"Co,Fe,Ni",2.4671;2.4671;2.4671;2.4947;2.4947;2.4947;2.5364;2.5364;2.5364;2.5481;2.5481;2.5481;2.5630;2.5630;2.5630;2.5637;2.5637;2.5637;2.5766;2.5766;2.5766;2.5926;2.5926;2.5926,8,4,"Co,Fe,Ni,Ti",3.5486;3.5486;3.5511;3.5511;3.5718;3.5718;3.5868;3.5868
